1:17:10 23/03/2020:Warsaw:34
2:05:30 23/03/2020:Podgorica:30
3:09:10 23/03/2020:Moscow:33
4:18:30 23/03/2020:Rome:29
5:13:30 23/03/2020:Lisbon:39
6:03:10 23/03/2020:Berlin:35
7:07:10 23/03/2020:Lisbon:30
8:05:10 23/03/2020:Lisbon:30
9:02:30 23/03/2020:Stockholm:28
10:10:30 23/03/2020:Paris:22
11:18:20 23/03/2020:Helsinki:29
12:01:20 23/03/2020:Vienna:34
13:13:30 23/03/2020:Oslo:31
14:21:10 23/03/2020:Copenhagen:27
15:04:30 23/03/2020:Bern:31
16:07:20 23/03/2020:Baku:29
17:11:30 23/03/2020:Berlin:31
18:09:20 23/03/2020:Podgorica:38
19:10:20 23/03/2020:Bern:31
20:01:10 23/03/2020:Bucharest:22
21:11:40 23/03/2020:Athens:26
22:10:30 23/03/2020:Stockholm:21
23:23:20 22/03/2020:Zagreb:39
24:18:40 23/03/2020:Helsinki:25
25:02:30 23/03/2020:Oslo:29
26:21:10 23/03/2020:Skopje:23
27:21:10 23/03/2020:Bucharest:32
28:23:10 22/03/2020:Budapest:39
29:15:10 23/03/2020:Vienna:25
30:10:10 23/03/2020:Oslo:28
31:06:40 23/03/2020:Podgorica:38
32:18:10 23/03/2020:Bern:36
33:13:30 23/03/2020:Paris:21
34:05:20 23/03/2020:Brussels:23
35:23:40 22/03/2020:Belgrade:26
36:20:10 23/03/2020:Budapest:23
37:14:40 23/03/2020:Zagreb:22
38:20:40 23/03/2020:Warsaw:25
39:15:20 23/03/2020:Paris:26
40:21:10 23/03/2020:Warsaw:27
41:04:10 23/03/2020:Skopje:36
42:17:30 23/03/2020:Madrid:28
43:17:30 23/03/2020:Paris:33
44:20:30 23/03/2020:Oslo:39
45:13:10 23/03/2020:Oslo:29
46:15:10 23/03/2020:Zagreb:33
47:15:10 23/03/2020:Budapest:36
48:20:10 23/03/2020:Belgrade:32
49:16:10 23/03/2020:London:24
50:00:10 23/03/2020:Riga:36
51:14:40 23/03/2020:Minsk:26
52:00:10 23/03/2020:Madrid:25
53:00:20 23/03/2020:Paris:24
54:17:40 23/03/2020:Skopje:20
55:12:10 23/03/2020:Moscow:26
56:21:40 23/03/2020:Vienna:39
57:21:10 23/03/2020:London:22
58:15:10 23/03/2020:Belgrade:22
59:05:20 23/03/2020:Warsaw:30
60:12:20 23/03/2020:Skopje:28
61:16:40 23/03/2020:Minsk:39
62:04:20 23/03/2020:Vienna:39
63:04:40 23/03/2020:London:36
64:21:40 23/03/2020:Zagreb:23
65:14:40 23/03/2020:Bern:21
66:17:20 23/03/2020:Zagreb:21
67:18:40 23/03/2020:Skopje:25
68:23:30 22/03/2020:Skopje:20
69:10:10 23/03/2020:Berlin:34
70:06:20 23/03/2020:Copenhagen:39
71:23:10 22/03/2020:Madrid:26
72:19:10 23/03/2020:Baku:29
73:07:10 23/03/2020:Stockholm:28
74:17:20 23/03/2020:Amsterdam:26
75:12:20 23/03/2020:Riga:33
76:13:20 23/03/2020:Amsterdam:22
77:07:10 23/03/2020:Helsinki:31
78:07:10 23/03/2020:Minsk:26
79:19:10 23/03/2020:Paris:29
80:01:30 23/03/2020:Moscow:23
81:05:20 23/03/2020:Brussels:32
82:03:40 23/03/2020:Oslo:35
83:07:20 23/03/2020:Lisbon:34
84:16:40 23/03/2020:Rome:37
85:16:20 23/03/2020:Stockholm:24
86:08:10 23/03/2020:London:20
87:12:30 23/03/2020:Vienna:36
88:16:40 23/03/2020:Lisbon:23
89:11:20 23/03/2020:Brussels:33
90:02:30 23/03/2020:Oslo:22
91:10:30 23/03/2020:Bucharest:38
92:04:40 23/03/2020:Helsinki:36
93:10:40 23/03/2020:Skopje:30
94:12:20 23/03/2020:Berlin:34
95:15:20 23/03/2020:Podgorica:36
96:05:30 23/03/2020:Berlin:26
97:16:10 23/03/2020:London:24
98:18:30 23/03/2020:Warsaw:39
99:12:40 23/03/2020:Warsaw:23
100:03:40 23/03/2020:Warsaw:37
101:20:20 23/03/2020:Vienna:20
102:01:40 23/03/2020:Riga:38
103:23:20 22/03/2020:Lisbon:35
104:17:40 23/03/2020:Podgorica:39
105:21:20 23/03/2020:Bucharest:24
106:14:10 23/03/2020:Copenhagen:30
107:02:30 23/03/2020:Rome:30
108:10:30 23/03/2020:Paris:33
109:04:10 23/03/2020:Paris:36
110:10:10 23/03/2020:Bern:22
111:04:20 23/03/2020:Skopje:25
112:19:30 23/03/2020:Skopje:28
113:18:40 23/03/2020:London:32
114:03:20 23/03/2020:Helsinki:33
115:03:10 23/03/2020:Bern:27
116:16:20 23/03/2020:Copenhagen:25
117:04:20 23/03/2020:Copenhagen:34
118:17:40 23/03/2020:Bern:34
119:17:20 23/03/2020:Rome:34
120:23:10 22/03/2020:Vilnius:23
121:13:20 23/03/2020:Brussels:35
122:03:40 23/03/2020:Berlin:30
123:12:30 23/03/2020:Moscow:36
124:23:20 22/03/2020:Amsterdam:38
125:16:10 23/03/2020:Rome:28
126:16:30 23/03/2020:Bern:25
127:10:40 23/03/2020:London:29
128:23:30 22/03/2020:Stockholm:38
129:10:20 23/03/2020:Vilnius:32
130:13:20 23/03/2020:Rome:23
131:10:30 23/03/2020:Vilnius:33
132:11:40 23/03/2020:Vienna:39
133:12:30 23/03/2020:Rome:20
134:03:40 23/03/2020:Amsterdam:39
135:07:10 23/03/2020:Vienna:39
136:11:10 23/03/2020:Minsk:30
137:09:20 23/03/2020:Baku:22
138:21:20 23/03/2020:Budapest:22
139:14:10 23/03/2020:Warsaw:30
140:23:30 22/03/2020:Helsinki:38
